category,texttype
Zeitungen,Ztg/Mag
Nachrichtenseiten,Ztg/Mag
NA,unklar
Magazine,Ztg/Mag
Staatliche und überstaatliche Informationsseiten,Info
Informationsseiten,Info
Blogartikel,Blog
"Erfahrungsberichte, Persönliches, Literarisches",Erfahrg
Sonstiges,Sonstg
Magazine/Sonstiges,Sonstg
Foren,Forum
Transkripte,Transkript
Liveticker,Liveticker
Magazine/Nachrichtenseiten,Ztg/Mag
Liveticker/Zeitungen,Sonstg
Blogartikel/Nachrichtenseiten,unklar
Nachrichtenseiten/Transkripte,unklar
Sonstiges/Zeitungen,unklar
