"No.","Date","Genre","Bibl","URL","ContextBefore","Hit","ContextAfter"
"1","2020-12-02","internetbasiert","Corona-Folgen: Japans Wirtschaft schrumpft im Rekordtempo. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/konjunktur/nachrichten/corona-folgen-japans-wirtschaft-schrumpft-im-rekordtempo/26100146.html","In Japan drückten Geschäftsschließungen und Aufforderungen ,","zuhause","zu bleiben , die Privatausgaben :"
"2","2020-12-02","internetbasiert","Prävention: Coronavirus-Fall in Düsseldorf – 1500 EY-Mitarbeiter sollen zuhause bleiben. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/dienstleister/praevention-coronavirus-fall-in-duesseldorf-1500-ey-mitarbeiter-sollen-zuhause-bleiben/25594990.html","Düsseldorf Nachdem bei einem Mitarbeiter eines großen Beratungsunternehmens in Düsseldorf das Coronavirus Sars-CoV-2 nachgewiesen wurde , sollen 1500 Kolleginnen und Kollegen des Mannes erst einmal","zuhause","bleiben ."
"3","2020-12-02","internetbasiert","CDU-Politiker: Friedrich Merz mit dem Coronavirus infiziert. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/cdu-politiker-friedrich-merz-mit-dem-coronavirus-infiziert/25653590.html","Ich werde bis Ende nächster Woche","zuhause","unter Quarantäne stehen “ , teilte Merz am Dienstag mit ."
"4","2020-12-02","internetbasiert","Coronakrise: Schwedens Sonderweg im Kampf gegen das Coronavirus: Ermahnungen statt Verbote. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/coronakrise-schwedens-sonderweg-im-kampf-gegen-das-coronavirus-ermahnungen-statt-verbote/25690460.html","Zwar ermahnte der sozialdemokratische Regierungschef Stefan Löfvén am Freitag seine Landsleute , auf „ unnötige Reisen “ zu verzichten und möglichst von","zuhause","aus zu arbeiten ."
"5","2020-12-02","internetbasiert","Tech-Metropole: Warum Seattle das Zentrum der Coronakrise in den USA ist. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/technik/it-internet/tech-metropole-warum-seattle-das-zentrum-der-coronakrise-in-den-usa-ist/25616718.html","Amazon , Microsoft , Google und Facebook haben ihre Mitarbeiter in Seattle aufgefordert , soweit möglich , bis Ende März von","zuhause","zu arbeiten ."
"6","2020-12-02","internetbasiert","Coronakrise: Michael Käfer will Feinkost in Seniorenheime bringen. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/mittelstand/familienunternehmer/coronakrise-michael-kaefer-will-feinkost-in-seniorenheime-bringen/25748252.html","Auch der Bestellservice für","zuhause","und der Online-Shop verzeichnen Zuwächse ."
"7","2020-12-02","internetbasiert","Corona-Pandemie: Der Kampf um den Ölpreis: Wie sind Saudi-Arabien und Russland aufgestellt?. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/corona-pandemie-der-kampf-um-den-oelpreis-wie-sind-saudi-arabien-und-russland-aufgestellt/25676258.html","Nur noch Beschäftigte in Gesundheitswesen , Lebensmittelversorgung und Müllabfuhr müssen zur Arbeit , alle anderen sind gezwungen","zuhause","zu bleiben – sogar die Millionen ausländischen Bauarbeiter ."
"8","2020-12-02","internetbasiert","Morning Briefing : Die brisante Corona-Ethik. handelsblatt.com, 2020-12-02","https://www.handelsblatt.com/meinung/morningbriefing/morning-briefing-die-brisante-corona-ethik-/25678982.html","Ein ganzer Subkontinent bleibt","zuhause","."
"9","2020-12-02","internetbasiert","Streaming-Dienst: Corona-Boom bei Netflix ebbt ab – Ted Sarandos wird Co-CEO. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/technik/it-internet/streaming-dienst-corona-boom-bei-netflix-ebbt-ab-ted-sarandos-wird-co-ceo/26012864.html","Los Gatos Der Online-Videodienst Netflix profitiert weiter davon , dass viele Menschen in der Coronakrise","zuhause","bleiben und Fernsehen gucken ."
"10","2020-12-02","internetbasiert","Tesla-Zahlen: Elon Musk feiert Tesla-Profit und wettert gegen Corona-Maßnahmen. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/industrie/tesla-zahlen-elon-musk-feiert-tesla-profit-und-wettert-gegen-corona-massnahmen/25790188.html","„ Menschen gegen ihren Willen","zuhause","einsperren “ , nennt er die Maßnahmen ; und „ faschistisch “ ."
